protocol_type,src_ip,dst_ip,sport,dport,tcp_flags,packet_size,ttl,service,flag,duration,flow_duration,packet_rate,packet_count,byte_count,avg_packet_size,syn_count,ack_count,fin_count,rst_count,prediction
icmp,172.24.245.120,8.8.8.8,0,0,None,98,64,other,OTH,2.0024168491363525,2.0024168491363525,1.4981895509388605,3,294,98.0,0,0,0,0,normal
icmp,8.8.8.8,172.24.245.120,0,0,None,98,112,other,OTH,1.637507677078247,1.637507677078247,1.8320524795051982,3,294,98.0,0,0,0,0,normal
icmp,172.24.245.120,8.8.8.8,0,0,None,98,64,other,OTH,3.0044095516204834,3.0044095516204834,1.3313764089994078,4,392,98.0,0,0,0,0,normal
icmp,8.8.8.8,172.24.245.120,0,0,None,98,112,other,OTH,2.5622549057006836,2.5622549057006836,1.561124925978489,4,392,98.0,0,0,0,0,normal
icmp,172.24.245.120,8.8.8.8,0,0,None,98,64,other,OTH,4.005784511566162,4.005784511566162,1.248194950468048,5,490,98.0,0,0,0,0,normal
icmp,8.8.8.8,172.24.245.120,0,0,None,98,112,other,OTH,3.586534023284912,3.586534023284912,1.3941036018446835,5,490,98.0,0,0,0,0,normal
icmp,172.24.245.120,8.8.8.8,0,0,None,98,64,other,OTH,5.007413387298584,5.007413387298584,1.1982234211417684,6,588,98.0,0,0,0,0,normal
icmp,8.8.8.8,172.24.245.120,0,0,None,98,112,other,OTH,4.586057662963867,4.586057662963867,1.308313248752815,6,588,98.0,0,0,0,0,normal
icmp,172.24.245.120,8.8.8.8,0,0,None,98,64,other,OTH,6.011752128601074,6.011752128601074,1.1643859976690172,7,686,98.0,0,0,0,0,normal
icmp,8.8.8.8,172.24.245.120,0,0,None,98,112,other,OTH,5.642686367034912,5.642686367034912,1.2405438730202405,7,686,98.0,0,0,0,0,normal
icmp,172.24.245.120,8.8.8.8,0,0,None,98,64,other,OTH,7.015336275100708,7.015336275100708,1.1403587349610202,8,784,98.0,0,0,0,0,normal
icmp,8.8.8.8,172.24.245.120,0,0,None,98,112,other,OTH,6.609160661697388,6.609160661697388,1.2104411451764303,8,784,98.0,0,0,0,0,normal
udp,172.24.240.1,224.0.0.251,5353,5353,None,225,1,mdns,OTH,120.80612993240356,120.80612993240356,0.057944079525739406,7,1233,176.14285714285714,0,0,0,0,normal
udp,172.24.240.1,224.0.0.251,5353,5353,None,90,1,mdns,OTH,120.81002187728882,120.81002187728882,0.06621967180939586,8,1323,165.375,0,0,0,0,normal
udp,172.24.240.1,224.0.0.251,5353,5353,None,90,1,mdns,OTH,121.07280111312866,121.07280111312866,0.07433544047263374,9,1413,157.0,0,0,0,0,normal
udp,172.24.240.1,224.0.0.251,5353,5353,None,90,1,mdns,OTH,121.33523321151733,121.33523321151733,0.08241629191553558,10,1503,150.3,0,0,0,0,normal
udp,172.24.240.1,224.0.0.251,5353,5353,None,287,1,mdns,OTH,121.60450196266174,121.60450196266174,0.09045717734510778,11,1790,162.72727272727272,0,0,0,0,normal
udp,172.24.240.1,224.0.0.251,5353,5353,None,226,1,mdns,OTH,121.60689949989319,121.60689949989319,0.09867861157014812,12,2016,168.0,0,0,0,0,normal
udp,172.24.240.1,239.255.255.250,51502,1900,None,212,1,other,OTH,0.0,0.0,0.0,1,212,212.0,0,0,0,0,neptune
udp,172.24.240.1,239.255.255.250,51502,1900,None,212,1,other,OTH,1.0084099769592285,1.0084099769592285,1.9833203217909683,2,424,212.0,0,0,0,0,normal
udp,172.24.240.1,239.255.255.250,51502,1900,None,212,1,other,OTH,2.015638828277588,2.015638828277588,1.4883618820558109,3,636,212.0,0,0,0,0,normal
udp,172.24.240.1,239.255.255.250,51502,1900,None,212,1,other,OTH,3.0261032581329346,3.0261032581329346,1.321831959715726,4,848,212.0,0,0,0,0,normal
udp,172.24.245.120,185.125.190.57,50358,123,None,90,64,ntp,OTH,0.0,0.0,0.0,1,90,90.0,0,0,0,0,neptune
udp,185.125.190.57,172.24.245.120,123,50358,None,90,48,other,OTH,0.0,0.0,0.0,1,90,90.0,0,0,0,0,neptune
tcp,172.24.245.120,91.189.91.82,55910,80,S,74,64,http,S0,0.0,0.0,0.0,1,74,74.0,1,0,0,0,neptune
tcp,172.24.245.120,91.189.91.81,43378,80,S,74,64,http,S0,0.0,0.0,0.0,1,74,74.0,1,0,0,0,neptune
tcp,91.189.91.82,172.24.245.120,80,55910,SA,74,37,other,S1,0.0,0.0,0.0,1,74,74.0,1,1,0,0,neptune
tcp,91.189.91.81,172.24.245.120,80,43378,SA,74,38,other,S1,0.0,0.0,0.0,1,74,74.0,1,1,0,0,neptune
tcp,172.24.245.120,91.189.91.81,43378,80,R,54,64,http,RSTR,0.2840714454650879,0.2840714454650879,7.040482357265993,2,128,64.0,1,0,0,1,normal
tcp,172.24.245.120,91.189.91.82,55910,80,FA,66,64,http,S2,2.989799737930298,2.989799737930298,0.6689411249278218,2,140,70.0,1,452,1,0,normal
tcp,91.189.91.82,172.24.245.120,80,55910,FA,66,37,other,S2,3.231170415878296,3.231170415878296,0.6189707575223514,2,140,70.0,1,494,1,0,normal
tcp,172.24.245.120,192.168.0.1,2418,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2419,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2420,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2421,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2422,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2423,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2424,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2425,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
